src,dst
230425980,5530458
232022460,232438397
230460314,230459870
230333930,230595899
232013274,232029206
232344069,27553029
36411953,230405052
34194980,5529846
230409257,32877982
230351738,195218118
88008478,232012569
232412408,232412405
232038018,232470342
233591710,234439913
6595740,79840192
212704383,212366182
69254632,230595355
166890641,82304496
14878322,230415750
232073372,75604335
232431877,2758467
81273879,232437171
3878856,3878886
231182296,14660781
230519287,194810163
230423321,232399276
230347386,43560505
37233982,230427468
43358239,230528714
75605182,75604052
230585122,231208959
230455950,2881274
232658952,232658962
230530291,2881273
230531551,4619363
230516010,230516478
232441583,232441589
231181128,232453404
232353601,230447764
230423018,232392936
234419729,152498092
230531146,230545782
230453429,230459154
230440353,5234549
230440535,230440534
230348238,2881273
3409584,43560505
89273,3906238
230423318,230423018
146601928,232368272
89273,51860219
230521273,230522097
1913117,232909272
230967090,230439439
230658277,230563355
230455752,232416085
232038004,232037822
230471902,230471916
232393313,230511916
200165930,39617084
230432611,230966618
232436036,230674241
230330969,232918438
230918484,40297647
230459131,230559672
54492406,4855592
231995264,232468876
231994250,232910950
3907739,230438749
232687445,189305695
2819887,232956426
230474094,230473989
75604389,75604980
230471946,231429973
79642404,71136742
232897313,231168875
2756358,232432897
66396856,13805515
230470027,2893869
232440939,79642776
230529171,14580549
86655785,230577422
230471924,232894488
230391412,232029206
2893846,2881274
230334809,43560505
89273,230465219
230541525,2880930
230452144,2706899
230681119,232472581
232345632,230463877
230349226,233221331
232440137,230639246
232399274,232399270
230437680,19617883
232675389,147419328
233599193,233599189
230591601,230555921
60519306,230097992
89273,232440137
231990423,12971085
230344670,43560505
3272536,230724244
230540205,232608734
230597986,3878899
230351534,43560505
232064964,206139323
230437630,230649117
14550424,232353291
183402062,82950160
79642776,232447742
230401350,230401687
21018157,230724244
230347366,43560505
230658525,232450626
1913117,233227310
75604058,232068042
232361296,232361286
75600754,75597795
230457910,2881274
232035051,232036661
31730193,230569374
7196549,232418399
230400857,230400870
233599185,233599198
232342532,183402062
3877856,230437700
32877982,232899771
22013857,232903082
222399481,232893753
230645753,76866419
230418806,230428367
230439622,93518448
232470505,232470504
232054853,105586706
233097530,3717740
232904009,233220194
230528722,230528710
232342530,199529191
232017777,232054860
230530309,2881273
75598059,61820358
230531174,230531529
232446225,182442258
230440527,230456382
232404259,2758467
73325019,43560505
230423321,230681123
232654975,192392088
232037400,232037399
230517591,3385562
230464746,230464556
2713814,185535373
14942862,195237909
232392936,232392931
3876606,232460526
230692824,230551388
34162816,230539732
76866739,87889632
230444448,4996915
230464771,20510018
230334719,232000584
230673815,232383231
198363083,198426420
1913117,2923374
230390238,230456623
232903064,113492022
2713749,56588535
230470029,230470027
230438482,230438479
89273,5197391
76864781,230692824
37001822,86977694
234017978,230530258
3416106,74325541
230411274,195237909
232670457,232673585
